task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	23/3d3175	351704	STAR_GENCODE (DEN0121_Aviti_Severe)	COMPLETED	0	2025-04-02 13:32:28.274	18m 25s	17m 58s	1152.6%	41 GB	43.2 GB	84.5 GB	35.8 GB
1	92/8c657c	351703	STAR_GENCODE (DEN0084_Aviti_Non-Severe)	COMPLETED	0	2025-04-02 13:32:28.239	18m 25s	17m 58s	1178.6%	40.7 GB	42.7 GB	53.9 GB	14.8 GB
4	27/59eae5	351706	STAR_GENCODE (DEN0048_Aviti_Severe)	COMPLETED	0	2025-04-02 13:32:28.356	32m 15s	13m 29s	1072.4%	40.6 GB	42.6 GB	53.9 GB	15.5 GB
5	f9/7dd450	351707	STAR_GENCODE (DEN0251_Nextseq_Severe)	COMPLETED	0	2025-04-02 13:32:28.403	46m 21s	13m 50s	1125.8%	40.7 GB	42.6 GB	51.2 GB	11.7 GB
3	5b/bfe227	351705	STAR_GENCODE (IGIB11301144292n_Nextseq_Negative)	COMPLETED	0	2025-04-02 13:32:28.314	50m 35s	31m 47s	1280.1%	40.6 GB	42.6 GB	57.2 GB	14 GB
6	fb/25ddf1	351708	STAR_GENCODE (DEN0258_Nextseq_Severe)	COMPLETED	0	2025-04-02 13:32:28.441	55m	16m 30s	1183.4%	40.9 GB	42.9 GB	68.3 GB	23.1 GB
8	61/261a34	351710	STAR_GENCODE (IGIB11305135728n_Nextseq_Negative)	COMPLETED	0	2025-04-02 13:32:28.517	1h 4m 40s	13m 39s	1114.6%	40.8 GB	42.9 GB	59.3 GB	16.9 GB
7	5f/effe96	351709	STAR_GENCODE (IGIB1130398710n_Nextseq_Negative)	COMPLETED	0	2025-04-02 13:32:28.480	1h 9m 10s	22m 41s	1226.1%	41 GB	43.2 GB	69.8 GB	22.6 GB
9	1d/df9f14	351711	STAR_GENCODE (DEN0317_Nextseq_Non-Severe)	COMPLETED	0	2025-04-02 13:32:28.558	1h 22m 45s	27m 13s	1269.8%	41.3 GB	43.7 GB	78.6 GB	28.3 GB
11	3e/05c2c5	351713	STAR_GENCODE (DEN0243_Aviti_Non-Severe)	COMPLETED	0	2025-04-02 13:32:28.637	1h 35m 30s	25m 58s	1256.7%	41.1 GB	43.3 GB	82.7 GB	35.6 GB
12	02/83e53f	351714	STAR_GENCODE (DEN0010_Aviti_Non-Severe)	COMPLETED	0	2025-04-02 13:32:28.680	1h 46m 30s	23m 23s	1230.7%	41 GB	43.2 GB	87.4 GB	37.2 GB
14	9d/e0ae3e	351716	STAR_GENCODE (DEN0235_Aviti_Severe)	COMPLETED	0	2025-04-02 13:32:28.772	2h 9m 50s	23m 6s	1225.1%	41.2 GB	43.4 GB	78.3 GB	32.3 GB
13	38/5e36fe	351715	STAR_GENCODE (IGIB1130398948n_Nextseq_Negative)	COMPLETED	0	2025-04-02 13:32:28.727	2h 24m 35s	48m 25s	1316.3%	40.7 GB	42.7 GB	68.1 GB	19.3 GB
10	1d/96bc45	351712	STAR_GENCODE (DEN0123_Nextseq_Non-Severe)	COMPLETED	0	2025-04-02 13:32:28.601	2h 30m 46s	1h 25m 43s	1392.3%	40.7 GB	42.6 GB	122.9 GB	73.8 GB
79	26/fd9f00	351784	SALMON_ALIGN (DEN0121_Aviti_Severe)	COMPLETED	0	2025-04-02 13:50:53.163	2h 13m 51s	2m 46s	594.9%	11.1 GB	12.6 GB	4.7 GB	18.6 MB
15	e1/b237cb	351717	STAR_GENCODE (DEN0026_Aviti_Severe)	COMPLETED	0	2025-04-02 13:32:28.812	2h 32m 20s	21m 52s	1208.7%	40.9 GB	43 GB	82.9 GB	35.2 GB
80	1c/e52166	351785	SALMON_ALIGN (DEN0084_Aviti_Non-Severe)	COMPLETED	0	2025-04-02 13:50:53.249	2h 16m 11s	2m 5s	539.3%	10.3 GB	12.5 GB	1.9 GB	18.5 MB
81	ea/53546a	351788	SALMON_ALIGN (DEN0048_Aviti_Severe)	COMPLETED	0	2025-04-02 14:04:43.637	2h 4m 40s	2m 2s	553.6%	11.1 GB	12.6 GB	1.9 GB	18.5 MB
83	90/0f3753	351790	SALMON_ALIGN (IGIB11301144292n_Nextseq_Negative)	COMPLETED	0	2025-04-02 14:23:03.285	1h 46m 21s	1m 1s	432.2%	6.5 GB	7.8 GB	1011.6 MB	18.4 MB
82	af/e06444	351789	SALMON_ALIGN (DEN0251_Nextseq_Severe)	COMPLETED	0	2025-04-02 14:18:49.748	1h 50m 49s	1m 45s	548.7%	11.4 GB	14.3 GB	1.7 GB	18.5 MB
84	ef/1e6ee8	351792	SALMON_ALIGN (DEN0258_Nextseq_Severe)	COMPLETED	0	2025-04-02 14:27:28.246	1h 43m 51s	2m 23s	639.5%	11 GB	12.6 GB	3.4 GB	18.6 MB
86	40/ae2044	351795	SALMON_ALIGN (IGIB1130398710n_Nextseq_Negative)	COMPLETED	0	2025-04-02 14:41:38.232	1h 30m 46s	2m 29s	623.1%	12 GB	14.3 GB	3 GB	18.6 MB
87	d0/0fdaa4	351796	SALMON_ALIGN (DEN0317_Nextseq_Non-Severe)	COMPLETED	0	2025-04-02 14:55:14.307	1h 17m 40s	3m 2s	633.6%	11.1 GB	12.6 GB	3 GB	18.5 MB
88	f9/e93485	351797	SALMON_ALIGN (DEN0243_Aviti_Non-Severe)	COMPLETED	0	2025-04-02 15:07:58.983	1h 5m	2m 32s	637.9%	10.8 GB	12.6 GB	4.5 GB	18.6 MB
85	96/02cff8	351793	SALMON_ALIGN (IGIB11305135728n_Nextseq_Negative)	COMPLETED	0	2025-04-02 14:37:08.741	1h 35m 55s	3m 8s	625.0%	12 GB	14.3 GB	2.7 GB	18.5 MB
91	f4/bf1b61	351811	SALMON_ALIGN (IGIB1130398948n_Nextseq_Negative)	COMPLETED	0	2025-04-02 15:57:04.232	16m 55s	34s	350.2%	2.9 GB	3.8 GB	701.7 MB	18.4 MB
89	a0/100f62	351798	SALMON_ALIGN (DEN0010_Aviti_Non-Severe)	COMPLETED	0	2025-04-02 15:18:59.362	55m 35s	3m 10s	648.9%	11.5 GB	14.3 GB	4.7 GB	18.6 MB
19	f3/9fb059	351721	STAR_GENCODE (DEN0009_Aviti_Severe)	COMPLETED	0	2025-04-02 13:32:28.975	2h 42m 25s	11m 22s	1017.3%	40.6 GB	42.4 GB	59.5 GB	21.8 GB
92	94/23cfbf	351813	SALMON_ALIGN (DEN0123_Nextseq_Non-Severe)	COMPLETED	0	2025-04-02 16:03:14.291	12m 20s	2m 10s	572.1%	10 GB	12.5 GB	1.8 GB	18.5 MB
90	20/2c8358	351807	SALMON_ALIGN (DEN0235_Aviti_Severe)	COMPLETED	0	2025-04-02 15:42:19.562	33m 15s	3m 10s	647.8%	11.2 GB	12.6 GB	4 GB	18.6 MB
93	eb/60a78a	351814	SALMON_ALIGN (DEN0026_Aviti_Severe)	COMPLETED	0	2025-04-02 16:04:49.238	12m 5s	3m 27s	633.8%	11.5 GB	14.3 GB	4.3 GB	18.6 MB
94	80/659dd7	351818	SALMON_ALIGN (DEN0009_Aviti_Severe)	COMPLETED	0	2025-04-02 16:14:54.298	3m 10s	2m 38s	591.6%	10.2 GB	12.5 GB	2.5 GB	18.5 MB
23	86/a9e415	351725	STAR_GENCODE (DEN0255_Nextseq_Severe)	COMPLETED	0	2025-04-02 13:32:29.175	2h 46m 50s	10m 53s	984.3%	40.5 GB	42.3 GB	42.8 GB	6.9 GB
95	9c/498c26	351819	SALMON_ALIGN (DEN0255_Nextseq_Severe)	COMPLETED	0	2025-04-02 16:19:19.273	1m 25s	1m 20s	488.4%	7.9 GB	9.7 GB	1.1 GB	18.5 MB
20	72/04f79d	351722	STAR_GENCODE (IGIB11301147021n_Nextseq_Negative)	COMPLETED	0	2025-04-02 13:32:29.045	2h 50m 15s	17m 14s	1174.7%	40.9 GB	43.1 GB	66.4 GB	20 GB
16	a0/266c3e	351718	STAR_GENCODE (DEN0280_Aviti_Non-Severe)	COMPLETED	0	2025-04-02 13:32:28.841	2h 51m 35s	26m 33s	1274.7%	41.1 GB	43.4 GB	77.9 GB	31.5 GB
96	1e/aeb598	351820	SALMON_ALIGN (IGIB11301147021n_Nextseq_Negative)	COMPLETED	0	2025-04-02 16:22:44.305	3m 15s	3m 5s	636.7%	11.7 GB	14.3 GB	3 GB	18.5 MB
