task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	0d/e30987	12801	FEATURE_COUNTS_1 (DEN0048_Aviti_Severe)	COMPLETED	0	2025-06-04 09:25:46.301	4.5s	3.1s	1104.7%	1 GB	4.9 GB	2.5 GB	29.6 MB
7	d3/97dbcd	12804	FEATURE_COUNTS_1 (IGIB1130398710n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:25:46.460	4.3s	3.2s	1228.8%	1017.4 MB	4.9 GB	2.3 GB	29.6 MB
1	94/9ee1d2	12800	FEATURE_COUNTS_1 (DEN0084_Aviti_Non-Severe)	COMPLETED	0	2025-06-04 09:25:46.258	4.5s	3s	1007.4%	1023.2 MB	4.9 GB	2.5 GB	29.6 MB
3	43/699411	12798	FEATURE_COUNTS_1 (IGIB11301144292n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:25:46.168	4.5s	3.5s	772.2%	1017.7 MB	4.9 GB	1.8 GB	29.6 MB
2	b1/8913a8	12799	FEATURE_COUNTS_1 (DEN0121_Aviti_Severe)	COMPLETED	0	2025-06-04 09:25:46.206	9.5s	7.7s	842.3%	1022 MB	4.9 GB	5.5 GB	29.6 MB
5	ae/09aa11	12802	FEATURE_COUNTS_1 (DEN0251_Nextseq_Severe)	COMPLETED	0	2025-06-04 09:25:46.348	9.4s	4s	561.9%	1 GB	4.9 GB	1.4 GB	29.6 MB
6	9e/71f6ca	12803	FEATURE_COUNTS_1 (DEN0258_Nextseq_Severe)	COMPLETED	0	2025-06-04 09:25:46.408	9.3s	5.6s	723.1%	1014.2 MB	4.9 GB	2.4 GB	29.5 MB
8	1a/27a75a	12805	FEATURE_COUNTS_1 (IGIB11305135728n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:25:46.523	9.2s	3.1s	945.2%	1014.5 MB	4.9 GB	1.8 GB	29.6 MB
9	4b/94cb59	12806	FEATURE_COUNTS_1 (DEN0317_Nextseq_Non-Severe)	COMPLETED	0	2025-06-04 09:25:46.587	9.1s	4.3s	1482.3%	1019 MB	4.9 GB	3.5 GB	29.6 MB
10	a8/21c6b8	12807	FEATURE_COUNTS_1 (DEN0123_Nextseq_Non-Severe)	COMPLETED	0	2025-06-04 09:25:46.644	14.1s	5s	2373.4%	999.4 MB	4.9 GB	7 GB	29.6 MB
11	ee/b49258	12808	FEATURE_COUNTS_1 (DEN0243_Aviti_Non-Severe)	COMPLETED	0	2025-06-04 09:25:46.688	14s	7.3s	844.0%	1024 MB	4.9 GB	5.4 GB	29.6 MB
12	3f/e14b04	12809	FEATURE_COUNTS_1 (DEN0010_Aviti_Non-Severe)	COMPLETED	0	2025-06-04 09:25:46.744	14s	7.8s	954.8%	1018.4 MB	4.9 GB	5.6 GB	29.6 MB
13	49/d58ba8	12810	FEATURE_COUNTS_1 (IGIB1130398948n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:25:46.792	13.9s	4.6s	812.4%	1024 MB	4.9 GB	2.9 GB	29.7 MB
15	6a/521857	12812	FEATURE_COUNTS_1 (DEN0026_Aviti_Severe)	COMPLETED	0	2025-06-04 09:25:46.934	13.8s	3.7s	1703.9%	1 GB	4.9 GB	5.3 GB	29.6 MB
14	c7/f51026	12811	FEATURE_COUNTS_1 (DEN0235_Aviti_Severe)	COMPLETED	0	2025-06-04 09:25:46.838	18.9s	6.5s	884.8%	1 GB	4.9 GB	5.1 GB	29.6 MB
16	db/9fa9d5	12813	FEATURE_COUNTS_1 (DEN0280_Aviti_Non-Severe)	COMPLETED	0	2025-06-04 09:25:47.001	18.7s	4.7s	1403.1%	1 GB	4.9 GB	5 GB	29.6 MB
17	d2/887da2	12814	FEATURE_COUNTS_1 (DEN0278_Aviti_Non-Severe)	COMPLETED	0	2025-06-04 09:25:47.053	18.7s	6.4s	587.8%	1 GB	4.9 GB	3.2 GB	29.6 MB
18	6e/d6731b	12815	FEATURE_COUNTS_1 (DEN0160_Nextseq_Non-Severe)	COMPLETED	0	2025-06-04 09:25:47.091	18.6s	5.4s	725.6%	1 GB	4.8 GB	2.6 GB	29.6 MB
19	37/8d4cfe	12816	FEATURE_COUNTS_1 (DEN0009_Aviti_Severe)	COMPLETED	0	2025-06-04 09:25:47.128	18.6s	5.3s	774.9%	1013.2 MB	4.9 GB	3.5 GB	29.5 MB
20	ae/0c846e	12817	FEATURE_COUNTS_1 (IGIB11301147021n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:25:47.175	18.6s	3.4s	949.5%	1019.1 MB	4.9 GB	2 GB	29.6 MB
23	62/f319b4	12820	FEATURE_COUNTS_1 (DEN0255_Nextseq_Severe)	COMPLETED	0	2025-06-04 09:25:47.357	18.4s	2.4s	652.2%	834.6 MB	4.1 GB	951.5 MB	29.6 MB
21	a5/717b87	12818	FEATURE_COUNTS_1 (DEN0247_Aviti_Non-Severe)	COMPLETED	0	2025-06-04 09:25:47.226	23.5s	5.1s	805.0%	1 GB	4.9 GB	3.4 GB	29.6 MB
22	b6/a2f50d	12819	FEATURE_COUNTS_1 (DEN0287_Aviti_Severe)	COMPLETED	0	2025-06-04 09:25:47.303	23.4s	8s	1156.8%	1 GB	4.9 GB	7.3 GB	29.6 MB
24	df/e4500e	12821	FEATURE_COUNTS_1 (DEN0069_Nextseq_Non-Severe)	COMPLETED	0	2025-06-04 09:25:47.413	23.3s	4.2s	683.1%	1015.2 MB	4.9 GB	1.9 GB	29.6 MB
25	bb/69ac87	12822	FEATURE_COUNTS_1 (IGIB1130863008n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:25:47.465	23.3s	3.4s	607.3%	1 GB	4.9 GB	1.4 GB	29.6 MB
26	5e/01c409	12823	FEATURE_COUNTS_1 (DEN0090_Nextseq_Non-Severe)	COMPLETED	0	2025-06-04 09:25:47.515	23.2s	4.7s	579.7%	1021.4 MB	5 GB	2 GB	29.6 MB
28	b7/54eb55	12825	FEATURE_COUNTS_1 (DEN0218_Nextseq_Non-Severe)	COMPLETED	0	2025-06-04 09:25:47.613	23.1s	3s	938.3%	1 GB	4.9 GB	1.9 GB	29.6 MB
27	3f/abd6b8	12824	FEATURE_COUNTS_1 (IGIB1130409267n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:25:47.565	28.2s	4.8s	1066.3%	1 GB	4.9 GB	3.4 GB	29.6 MB
