task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	59/8bf231	364946	SALMON_ALIGN (DEN0121_Aviti_Severe)	FAILED	1	2025-04-10 17:00:13.766	14.3s	10s	-	-	-	-	-
10	13/2eb386	364942	SALMON_ALIGN (DEN0123_Nextseq_Non-Severe)	FAILED	1	2025-04-10 17:00:13.477	14.5s	10s	-	-	-	-	-
7	b5/b25eff	364944	SALMON_ALIGN (IGIB1130398710n_Nextseq_Negative)	FAILED	1	2025-04-10 17:00:13.648	14.4s	10s	-	-	-	-	-
12	a6/31e6c2	364953	SALMON_ALIGN (DEN0010_Aviti_Non-Severe)	FAILED	1	2025-04-10 17:00:14.164	13.9s	3ms	-	-	-	-	-
11	6f/5b7d1b	364952	SALMON_ALIGN (DEN0243_Aviti_Non-Severe)	FAILED	1	2025-04-10 17:00:14.121	13.9s	2ms	-	-	-	-	-
3	cb/ec2ca2	364950	SALMON_ALIGN (IGIB11301144292n_Nextseq_Negative)	FAILED	1	2025-04-10 17:00:14.008	14s	3ms	-	-	-	-	-
9	fd/224759	364943	SALMON_ALIGN (DEN0317_Nextseq_Non-Severe)	FAILED	1	2025-04-10 17:00:13.563	14.5s	10s	-	-	-	-	-
1	37/bc736e	364948	SALMON_ALIGN (DEN0084_Aviti_Non-Severe)	FAILED	1	2025-04-10 17:00:13.873	14.2s	10s	-	-	-	-	-
6	ca/b3446c	364945	SALMON_ALIGN (DEN0258_Nextseq_Severe)	FAILED	1	2025-04-10 17:00:13.716	14.3s	10s	-	-	-	-	-
5	a9/7357bb	364949	SALMON_ALIGN (DEN0251_Nextseq_Severe)	FAILED	1	2025-04-10 17:00:13.969	14.1s	10s	-	-	-	-	-
13	45/731437	364954	SALMON_ALIGN (IGIB1130398948n_Nextseq_Negative)	FAILED	1	2025-04-10 17:00:14.225	13.8s	5s	-	-	-	-	-
14	1b/21abee	364955	SALMON_ALIGN (DEN0235_Aviti_Severe)	FAILED	1	2025-04-10 17:00:14.282	13.8s	3ms	-	-	-	-	-
17	1a/c04e89	364958	SALMON_ALIGN (DEN0278_Aviti_Non-Severe)	FAILED	1	2025-04-10 17:00:14.425	13.6s	2ms	-	-	-	-	-
16	90/b580ed	364957	SALMON_ALIGN (DEN0280_Aviti_Non-Severe)	FAILED	1	2025-04-10 17:00:14.386	13.7s	3ms	-	-	-	-	-
15	6a/f42da3	364956	SALMON_ALIGN (DEN0026_Aviti_Severe)	FAILED	1	2025-04-10 17:00:14.339	13.7s	5s	-	-	-	-	-
